Date,Interest_Rate
2012-12-01,1.8467
2013-01-01,2.0795
2013-02-01,2.1781
2013-03-01,1.9768
2013-04-01,1.7824
2013-05-01,1.9462
2013-06-01,2.3063
2013-07-01,2.471
2013-08-01,2.7088
2013-09-01,2.8443
2013-10-01,2.6784
2013-11-01,2.7598
2013-12-01,2.9458
2014-01-01,2.91
2014-02-01,2.8147
2014-03-01,2.7837
2014-04-01,2.7417
2014-05-01,2.6989
2014-06-01,2.7842
2014-07-01,2.7343
2014-08-01,2.5347
2014-09-01,2.4919
2014-10-01,2.2469
2014-11-01,2.1593
2014-12-01,1.9287
2015-01-01,1.589
2015-02-01,1.7365
2015-03-01,1.7941
2015-04-01,1.755
2015-05-01,2.0243
2015-06-01,2.1696
2015-07-01,2.1353
2015-08-01,1.9799
2015-09-01,1.8814
2015-10-01,1.846
2015-11-01,1.9779
2015-12-01,1.9234
2016-01-01,1.7833
2016-02-01,1.5032
2016-03-01,1.5434
2016-04-01,1.5688
2016-05-01,1.5366
2016-06-01,1.3105
2016-07-01,0.9569
2016-08-01,0.7421
2016-09-01,0.8243
2016-10-01,1.078
2016-11-01,1.3818
2016-12-01,1.4336
2017-01-01,1.4203
2017-02-01,1.3058
2017-03-01,1.194
2017-04-01,1.0789
2017-05-01,1.1175
2017-06-01,1.0846
2017-07-01,1.2713
2017-08-01,1.1241
2017-09-01,1.2436
2017-10-01,1.3816
2017-11-01,1.3299
2017-12-01,1.2781
2018-01-01,1.3931
2018-02-01,1.6034
2018-03-01,1.508
2018-04-01,1.5108
2018-05-01,1.5016
2018-06-01,1.4229
2018-07-01,1.3739
2018-08-01,1.3991
2018-09-01,1.5023
2018-10-01,1.5462
2018-11-01,1.4541
2018-12-01,1.3125
2019-01-01,1.3221
2019-02-01,1.239
2019-03-01,1.19
2019-04-01,1.1906
2019-05-01,1.13
2019-06-01,0.919
2019-07-01,0.8304
2019-08-01,0.5776
2019-09-01,0.5981
2019-10-01,0.6373
2019-11-01,0.765
2019-12-01,0.8308
2020-01-01,0.7235
2020-02-01,0.633
2020-03-01,0.4609
2020-04-01,0.3577
2020-05-01,0.2743
2020-06-01,0.278
2020-07-01,0.2094
2020-08-01,0.2717
2020-09-01,0.273
2020-10-01,0.3058
2020-11-01,0.3836
2020-12-01,0.3224
2021-01-01,0.3672
2021-02-01,0.6222
2021-03-01,0.8456
2021-04-01,0.8515
2021-05-01,0.9058
2021-06-01,0.8549
2021-07-01,0.6979
2021-08-01,0.644
2021-09-01,0.8023
2021-10-01,1.083
2021-11-01,0.9394
2021-12-01,0.8375
2022-01-01,1.2051
2022-02-01,1.4891
2022-03-01,1.5457
2022-04-01,1.8362
2022-05-01,1.9069
2022-06-01,2.3824
2022-07-01,2.1454
2022-08-01,2.3278
2022-09-01,3.5007
2022-10-01,4.1096
